No.,Latitude,Longitude,Altitude,Pitch,Roll,Yaw
DSC05923.JPG,24.07402751,120.6531738,269,-0.39,2.05,-87.05
DSC05924.JPG,24.07406413,120.6528158,268,2.71,8.69,-79.8
DSC05925.JPG,24.07410889,120.6524414,268,1.34,0.66,-85.29
DSC05926.JPG,24.07414144,120.6520671,270,-1.64,5.06,-85.47
DSC05927.JPG,24.0741862,120.651709,271,-2.87,4.05,-81.43001
DSC05928.JPG,24.07424316,120.6513672,270,-2.53,-18.01,-81.68
DSC05929.JPG,24.07420247,120.6510417,268,-2.48,-47.64,-125.55
DSC05930.JPG,24.0738444,120.6508464,261,8.89,-11.43,-172.17
DSC05931.JPG,24.07338867,120.650944,265,5.79,-54.12,150.93
DSC05932.JPG,24.07299805,120.6512695,270,1.35,-34.96,125.13
DSC05933.JPG,24.07275798,120.6517578,273,-0.59,-29.63,108.17
DSC05934.JPG,24.07266439,120.6522949,271,-1.24,-12.81,93.28
DSC05935.JPG,24.07268066,120.6528483,271,-2.71,-6.04,82.18
DSC05936.JPG,24.07274984,120.6533529,270,-0.24,3.16,80.91
DSC05937.JPG,24.07281901,120.65389,267,0.52,10.99,85.19
DSC05938.JPG,24.07287191,120.6544271,267,2.09,7.7,84.02
DSC05939.JPG,24.07290446,120.6549805,267,1.89,9.34,89.02
DSC05940.JPG,24.07288818,120.6555501,266,2.94,7.77,93.75001
DSC05941.JPG,24.07285156,120.6561035,268,0.01,5.9,95.26
DSC05942.JPG,24.07279867,120.6566406,269,-0.29,5.78,97.53
DSC05943.JPG,24.07272542,120.6571777,269,1.18,3.86,99.18
DSC05944.JPG,24.07263997,120.6577311,266,3.68,-3.97,97.76
DSC05945.JPG,24.07256266,120.6582682,266,1.16,-5.78,96.39001
DSC05946.JPG,24.07250163,120.6587891,269,2.01,1.26,93.71001
DSC05947.JPG,24.07246501,120.6593262,267,2.78,2.2,94.49
DSC05948.JPG,24.07240804,120.6598796,267,3.39,6.85,98.28
DSC05949.JPG,24.0723348,120.6604004,270,-0.14,-2.83,96.38
DSC05950.JPG,24.07225342,120.6609212,267,2.18,0.46,99.84
DSC05951.JPG,24.07215983,120.6614583,267,2.3,-2.57,100.53
DSC05952.JPG,24.07208252,120.6619629,267,2.3,-0.37,98.57
DSC05953.JPG,24.07201335,120.6625,266,4.43,2.41,99.31001
DSC05954.JPG,24.07193604,120.6630208,268,3.81,2.58,100.93
DSC05955.JPG,24.07188314,120.6635742,269,3.95,-1.02,93.94
DSC05956.JPG,24.07183838,120.6641439,267,4.92,4.86,95.52
DSC05957.JPG,24.07179769,120.6647298,268,2.43,9.22,95.19
DSC05958.JPG,24.07173665,120.6653158,268,1.17,-6.74,96.21
DSC05959.JPG,24.0716512,120.6659017,270,1.67,3.48,99.03001
DSC05960.JPG,24.07156576,120.6664714,271,-0.05,-4.4,98.07001
DSC05961.JPG,24.07148031,120.667041,269,1.06,-2.55,97.89
DSC05962.JPG,24.07141927,120.667627,266,3.47,0.76,95.1
DSC05963.JPG,24.07138672,120.6682129,267,3.91,6.44,92.19
